Date,Confirmed,Deaths,Recovered,Excluded,Beni Mellal-Khenifra,Casablanca-Settat,Draa-Tafilalet,Dakhla-Oued Ed-Dahab,Fes-Meknes,Guelmim-Oued Noun,Laayoune-Sakia El Hamra,Marrakesh-Safi,Oriental,Rabat-Sale-Kenitra,Souss-Massa,Tanger-Tetouan-Al Hoceima
22/05/2020,7332,197,4377,116070,112,2330,585,5,989,43,3,1310,179,687,85,999
23/05/2020,7406,198,4638,126155,113,2384,585,5,991,42,3,1316,182,687,85,1007
24/05/2020,7429,198,4686,134698,112,2395,586,5,991,43,3,1318,185,687,84,1013
25/05/2020,7532,200,4774,144671,112,2457,585,5,994,42,3,1321,186,695,87,1037
26/05/2020,7577,202,4881,153788,112,2495,585,5,994,43,3,1326,185,696,87,1040
27/05/2020,7601,202,4978,163112,114,2506,586,5,997,43,3,1327,186,697,88,1045
28/05/2020,7643,202,5196,172546,113,2520,586,5,999,42,3,1329,185,700,87,1066
29/05/2020,7714,202,5271,182347,114,2570,586,4,999,43,3,1335,186,701,87,1079
30/05/2020,7780,204,5401,192218,115,2618,585,4,999,42,3,1337,186,701,87,1093
31/05/2020,7807,205,5459,201332,116,2634,586,4,1000,42,4,1337,187,702,88,1100
01/06/2020,7833,205,5893,213721,119,2649,585,4,1001,43,4,1338,187,702,89,1103
02/06/2020,7866,206,6410,226785,120,2665,586,4,1001,44,4,1349,187,704,88,1109
03/06/2020,7922,206,6866,239902,119,2683,586,4,1002,45,4,1361,186,711,88,1124
04/06/2020,8003,208,7195,253007,120,2696,585,4,1017,44,4,1393,187,713,88,1146
05/06/2020,8071,208,7268,267278,120,2714,585,4,1016,45,4,1423,192,718,88,1154
06/06/2020,8151,208,7315,281306,119,2759,586,4,1018,44,4,1436,193,722,88,1168
07/06/2020,8224,208,7364,297729,125,2767,586,4,1026,45,4,1450,194,748,89,1181
08/06/2020,8302,208,7408,314401,127,2777,586,4,1026,45,4,1481,195,776,89,1186
09/06/2020,8437,210,7493,331134,127,2855,586,5,1031,46,5,1495,195,777,90,1220
10/06/2020,8508,211,7565,347543,126,2868,586,5,1031,45,5,1526,195,785,90,1243
11/06/2020,8537,211,7583,364054,127,2877,585,5,1032,46,5,1535,196,786,89,1248
12/06/2020,8610,212,7618,380532,127,2882,586,5,1041,45,5,1567,196,786,90,1275
13/06/2020,8692,212,7696,397206,126,2892,585,5,1042,46,5,1579,197,788,90,1334
14/06/2020,8793,212,7765,413727,129,2906,585,5,1054,48,5,1600,196,830,89,1342
15/06/2020,8885,212,7828,430387,128,2910,586,5,1054,47,5,1611,197,894,89,1352
16/06/2020,8931,212,7973,446837,128,2913,585,5,1061,48,5,1630,198,896,90,1368
17/06/2020,8997,213,7993,462739,128,2945,585,5,1063,47,6,1650,198,897,89,1378
18/06/2020,9074,213,8041,479873,129,2963,586,5,1064,48,7,1656,199,915,89,1405
19/06/2020,9613,213,8117,496023,129,2977,586,4,1076,49,6,1686,199,1372,90,1433
20/06/2020,9839,213,8223,512327,129,2997,586,4,1088,53,6,1692,199,1528,89,1461
21/06/2020,9977,214,8284,528214,130,3029,585,4,1101,53,43,1726,199,1535,89,1475
22/06/2020,10172,214,8366,546523,135,3030,585,5,1112,53,44,1746,200,1638,89,1527
23/06/2020,10344,214,8407,564832,135,3062,586,9,1135,68,63,1783,200,1661,89,1548
24/06/2020,10907,216,8468,580850,138,3161,585,8,1149,68,231,1802,200,1773,90,1693
25/06/2020,11338,217,8500,579063,144,3197,587,10,1157,70,277,1837,201,1911,90,1862
26/06/2020,11633,218,8656,608802,148,3266,587,10,1173,70,286,1863,202,1918,90,2027
27/06/2020,11877,220,8723,621617,150,3340,586,11,1197,72,347,1884,201,1922,91,2079
28/06/2020,12052,221,8740,634143,151,3365,586,11,1209,75,391,1904,203,1935,92,2134
29/06/2020,12290,225,8833,650524,153,3379,587,12,1248,75,458,1925,207,1953,93,2207
30/06/2020,12533,228,8920,668658,152,3427,587,13,1253,76,529,1941,206,1964,92,2299
01/07/2020,12636,228,9026,685492,152,3450,587,16,1292,75,535,1953,212,1973,93,2304
02/07/2020,12969,229,9090,702884,152,3497,587,16,1352,81,600,1977,212,1980,93,2430
03/07/2020,13288,230,9160,719206,152,3539,587,15,1422,80,605,2050,212,1994,92,2545
04/07/2020,13822,232,9329,734627,159,3598,587,17,1515,83,639,2316,219,2002,93,2600
05/07/2020,14215,235,9725,751365,138,3161,585,8,1149,68,231,1802,200,1773,90,1693
06/07/2020,14379,237,10173,769260,162,3670,587,16,1579,98,688,2584,222,2012,93,2672
07/07/2020,14607,240,10639,786722,170,3718,586,17,1620,120,716,2605,233,2018,93,2716
08/07/2020,14771,242,11316,804353,172,3767,587,17,1642,126,729,2619,247,2024,92,2758
09/07/2020,15079,242,11447,820185,171,3809,587,17,1673,132,777,2665,248,2027,97,2882
10/07/2020,15328,243,11827,833769,172,3871,586,17,1697,135,794,2715,249,2033,97,2966
11/07/2020,15542,245,12065,849052,173,3914,586,18,1749,145,815,2739,255,2035,98,3022
12/07/2020,15745,250,12283,862881,177,3935,586,19,1786,145,821,2762,270,2057,101,3093
13/07/2020,15936,255,12934,880702,177,3935,587,20,1844,146,821,2829,289,2064,101,3129
14/07/2020,16097,257,13442,899043,177,3971,587,19,1846,146,820,2857,291,2076,101,3203
15/07/2020,16262,259,13821,917786,184,3988,588,23,1913,147,822,2889,293,2087,103,3232
16/07/2020,16545,263,13965,937170,184,4039,588,29,1984,148,823,2932,308,2097,103,3318
17/07/2020,16726,264,14360,956678,184,4062,589,32,2043,149,822,2954,320,2098,104,3374
18/07/2020,17015,269,14620,973499,186,4137,589,38,2119,152,822,2963,341,2105,104,3466
19/07/2020,17236,273,14921,992090,185,4213,590,37,2181,156,824,2982,345,2108,104,3515
20/07/2020,17562,276,15132,1010211,187,4261,589,41,2245,157,828,2997,350,2113,104,3697
21/07/2020,17742,280,15389,1029064,194,4306,595,41,2263,157,829,3547,357,2115,107,3769
22/07/2020,17962,285,15636,1047871,193,4372,599,44,2312,157,832,3054,363,2120,106,3812
23/07/2020,18264,292,15872,1067226,194,4455,601,53,2344,161,832,3098,368,2126,106,3931
24/07/2020,18834,299,16100,1086437,193,4662,603,59,2424,161,833,3119,390,2151,108,4138
25/07/2020,19645,305,16282,1106568,197,4847,608,63,2527,162,833,3150,393,2165,112,4594
26/07/2020,20278,313,16438,1126895,203,5068,619,63,2659,161,832,3221,402,2211,114,4731
27/07/2020,20887,316,16553,1147226,211,5279,621,69,2758,161,832,3351,408,2235,122,4844
28/07/2020,21387,327,17066,1167414,217,5443,629,69,2918,161,832,3416,415,2272,125,4892
29/07/2020,22213,334,17125,1187822,232,5729,631,80,3124,160,838,3512,423,2306,127,5058
30/07/2020,23259,346,17311,1207936,240,5994,661,84,3352,161,838,3629,456,2401,131,5318
31/07/2020,24322,353,17658,1228043,270,6336,677,83,3649,161,837,3702,455,2442,137,5578
